gender,candy,flavor,age,ethnicity,shirt color
F,kitkat,N/A,29,white,blue
F,kitkat,N/A,29,white,blue
F,kitkat,N/A,29,white,blue
F,kitkat,N/A,29,white,blue
F,kitkat,N/A,21,asian,white
M,airhead,double mystery,23,white,black
F,rolo,N/A,24,white,white
F,reeses,N/A,24,white,white
F,airhead,strawberry/watermelon,24,white,pink
F,kitkat,N/A,31,asian,black
M,hersheys,dark,32,asian,white
M,kitkat,N/A,50,white,blue
F,rolo,N/A,25,white,white
M,kitkat,N/A,26,grey,white
F,rolo,N/A,31,korean,black
M,kitkat,N/A,32,black,brown
M,reeses,N/A,32,black,brown
M,reeses,N/A,32,greek,red
M,airhead,,32,greek,red
F,hersheys,dark,24,white,pink
M,starburst,yellow,40,white,black
M,starburst,red,40,white,black
F,hersheys,dark,34,asian,black
F,hersheys,milk,24,white,pink
M,airhead,,24,white,purple
F,airhead,strawberry/watermelon,24,white,pink
F,kitkat,N/A,25,white,pink
F,reeses,N/A,25,white,pink
F,reeses,N/A,40,white,purple
F,airhead,double mystery,24,white,pink
M,airhead,,25,asian,white
M,reeses,N/A,21,hispanic,black
M,starburst,,19,white,red
F,kitkat,N/A,21,asian,white
M,kitkat,N/A,,mixed,gray
M,kitkat,N/A,24,hispanic,blue
M,kitkat,N/A,25,asian,blue
F,rolo,N/A,29,white,pink
M,kitkat,N/A,25,asian,black
M,hersheys,,25,asian,blue
M,reeses,N/A,28,white,blue
F,hersheys,dark,24,white,red
F,hersheys,dark,24,white,red
M,hersheys,dark,32,asian,blue
F,airhead,strawberry/watermelon,24,white,red
M,hersheys,milk,30,asian,white
M,reeses,N/A,19,white,black
F,kitkat,N/A,19,asian,blue
F,kitkat,N/A,21,asian,red
F,rolo,N/A,28,white,gray
F,rolo,N/A,28,white,gray
F,rolo,N/A,28,white,gray
F,rolo,N/A,24,white,black
M,airhead,,23,white,black
M,airhead,strawberry/watermelon,25,asian,black
F,hersheys,milk,25,white,black
M,hersheys,dark,,mixed,blue
F,kitkat,N/A,21,asian,red
M,hersheys,dark,25,asian,green
M,hersheys,dark,25,asian,green
M,rolo,N/A,32,asian,blue
M,rolo,N/A,32,asian,blue
F,hersheys,dark,19,asian,blue
M,rolo,N/A,44,asian,black
M,starburst,,20,mixed,green
M,starburst,,20,mixed,green
M,starburst,,20,mixed,green
F,rolo,N/A,24,white,red
F,hersheys,dark,26,asian,beige
F,reeses,N/A,33,white,green
F,hersheys,,40,white,white
F,rolo,N/A,26,mixed,blue
F,rolo,N/A,26,mixed,blue
M,rolo,N/A,19,white,black
M,reeses,N/A,19,white,black
M,reeses,N/A,21,hispanic,blue
M,reeses,N/A,21,hispanic,blue
M,reeses,N/A,21,hispanic,blue
F,hersheys,,33,white,green
F,reeses,N/A,25,white,black
M,reeses,N/A,19,white,red
M,reeses,N/A,19,white,red
M,reeses,N/A,19,white,red
M,starburst,,19,white,blue
